scenario_id,SLF,OSF,FS_real,FS_predicted_LOOCV,Absolute_Error
S1,0.9,0.1,0.42,0.4335535003142858,0.013553500314285816
S2,0.1,0.9,0.348,0.7497296550571432,0.4017296550571432
S3,0.1,0.1,0.224137931,0.3891466726857144,0.1650087416857144
S4,0.9,0.9,0.6104477612,0.8607221748857137,0.2502744136857137
S5,0.5,0.1,0.2657142857,0.38203664818235283,0.11632236248235284
S6,0.1,0.5,0.5473684211,0.2951565066411766,0.25221191445882335
S7,0.5,0.9,0.63,0.5513757279411762,0.07862427205882383
S8,0.9,0.5,0.644,0.5165159313764704,0.12748406862352957
