scenario_id,SLF,OSF,FS_real,SLF_OSF,FS_predicted,Absolute_Error
S1,0.9,0.1,0.42,0.09000000000000001,0.423953104258333,0.003953104258333007
S2,0.1,0.9,0.348,0.09000000000000001,0.46517114939166637,0.1171711493916664
S3,0.1,0.1,0.224137931,0.010000000000000002,0.27226548065833306,0.048127549658333046
S4,0.9,0.9,0.6104477612,0.81,0.6834444651916665,0.07299670399166647
S5,0.5,0.1,0.2657142857,0.05,0.348109292458333,0.082395006758333
S6,0.1,0.5,0.5473684211,0.05,0.3687183150249997,0.17865010607500026
S7,0.5,0.9,0.63,0.45,0.5743078072916664,0.05569219270833359
S8,0.9,0.5,0.644,0.45,0.5536987847249998,0.09030121527500024
