SLF,OSF,FS_real,SLF_OSF,FS_predicted,Absolute_Error
0.9,0.9,0.42,0.81,0.5685609683972974,0.14856096839729743
0.1,0.9,0.348,0.09000000000000001,0.4869588740567567,0.13895887405675672
0.1,0.1,0.224137931,0.010000000000000002,0.25642262946216193,0.03228469846216192
0.9,0.9,0.6104477612,0.81,0.5685609683972974,0.04188679280270258
0.5,0.1,0.2657142857,0.05,0.37682255811621607,0.11110827241621607
0.1,0.5,0.5473684211,0.05,0.3716907517594593,0.17567766934054063
0.5,0.9,0.63,0.45,0.527759921227027,0.10224007877297303
0.9,0.5,0.644,0.45,0.5328917275837839,0.11110827241621613
