source,source_user_id,target,target_user_id,weight,N
Dev7,7,Dev200,200,0.485,4
Dev518,29,Dev29,518,0.485,4
Dev200,200,Dev491,491,0.485,4
Dev518,225,Dev225,518,0.485,4
Dev3,3,Dev544,544,0.482,4
Dev3,3,Dev543,543,0.482,4
Dev336,399,Dev399,336,0.481,4
Dev7,7,Dev484,484,0.48,4
Dev7,62,Dev62,7,0.48,4
Dev490,490,Dev494,494,0.48,4
Dev137,225,Dev225,137,0.48,5
Dev7,7,Dev445,445,0.48,4
Dev62,62,Dev445,445,0.48,4
Dev62,62,Dev484,484,0.48,4
Dev62,62,Dev491,491,0.48,4
Dev33,33,Dev494,494,0.48,4
Dev94,94,Dev494,494,0.48,4
Dev94,94,Dev348,348,0.48,4
Dev33,33,Dev490,490,0.48,4
Dev445,445,Dev491,491,0.48,4
Dev94,94,Dev490,490,0.48,4
Dev8,8,Dev137,137,0.479,5
Dev305,305,Dev359,359,0.478,5
Dev305,305,Dev448,448,0.477,4
Dev242,242,Dev363,363,0.477,4
Dev574,324,Dev324,574,0.477,4
Dev242,242,Dev482,482,0.477,4
Dev7,7,Dev270,270,0.477,4
Dev93,291,Dev291,93,0.477,5
Dev520,324,Dev324,520,0.477,4
Dev137,138,Dev138,137,0.477,4
Dev193,193,Dev291,291,0.477,5
Dev543,324,Dev324,543,0.477,4
Dev541,324,Dev324,541,0.477,4
Dev53,53,Dev180,180,0.477,5
Dev53,53,Dev161,161,0.476,5
Dev14,14,Dev211,211,0.476,5
Dev38,38,Dev119,119,0.476,5
Dev229,229,Dev446,446,0.476,4
Dev465,465,Dev496,496,0.475,4
Dev582,131,Dev131,582,0.475,4
Dev131,131,Dev496,496,0.475,4
Dev560,281,Dev281,560,0.475,4
Dev582,466,Dev466,582,0.475,4
Dev582,496,Dev496,582,0.475,4
Dev466,466,Dev496,496,0.475,4
Dev5,5,Dev281,281,0.475,4
Dev548,466,Dev466,548,0.475,4
Dev582,465,Dev465,582,0.475,4
Dev27,27,Dev281,281,0.475,4
Dev544,281,Dev281,544,0.475,4
Dev548,131,Dev131,548,0.475,4
Dev548,465,Dev465,548,0.475,4
Dev548,496,Dev496,548,0.475,4
Dev548,548,Dev582,582,0.475,4
Dev137,228,Dev228,137,0.473,5
Dev137,229,Dev229,137,0.473,5
Dev142,228,Dev228,142,0.473,5
Dev27,27,Dev559,559,0.473,4
Dev142,229,Dev229,142,0.473,5
Dev326,326,Dev500,500,0.471,4
Dev27,27,Dev326,326,0.471,4
Dev544,544,Dev559,559,0.471,4
Dev326,326,Dev482,482,0.471,4
Dev326,411,Dev411,326,0.471,4
Dev543,503,Dev503,543,0.471,4
Dev543,543,Dev559,559,0.471,4
Dev326,363,Dev363,326,0.471,4
Dev5,5,Dev395,395,0.471,4
Dev544,503,Dev503,544,0.471,4
Dev225,225,Dev228,228,0.469,5
Dev225,225,Dev229,229,0.469,5
Dev119,291,Dev291,119,0.468,5
Dev220,220,Dev482,482,0.467,4
Dev220,220,Dev411,411,0.467,4
Dev220,220,Dev500,500,0.467,4
Dev142,142,Dev292,292,0.466,5
Dev85,85,Dev331,331,0.465,5
Dev198,198,Dev331,331,0.465,5
Dev89,89,Dev331,331,0.465,5
Dev223,223,Dev331,331,0.465,5
Dev331,331,Dev397,397,0.465,5
Dev520,94,Dev94,520,0.463,5
Dev308,308,Dev503,503,0.462,4
Dev316,370,Dev370,316,0.462,5
