source,source_user_id,target,target_user_id,weight,N
Dev516,326,Dev326,516,0.344,3
Dev560,326,Dev326,560,0.344,3
Dev326,326,Dev448,448,0.344,3
Dev326,447,Dev447,326,0.344,3
Dev326,425,Dev425,326,0.344,3
Dev326,359,Dev359,326,0.344,3
Dev62,62,Dev200,200,0.343,3
Dev270,270,Dev484,484,0.343,3
Dev270,270,Dev445,445,0.343,3
Dev524,491,Dev491,524,0.343,3
Dev270,270,Dev283,283,0.343,3
Dev524,283,Dev283,524,0.343,3
Dev200,200,Dev445,445,0.343,3
Dev62,62,Dev270,270,0.343,3
Dev524,62,Dev62,524,0.343,3
Dev270,270,Dev491,491,0.343,3
Dev200,200,Dev283,283,0.343,3
Dev283,445,Dev445,283,0.343,3
Dev283,283,Dev484,484,0.343,3
Dev283,283,Dev491,491,0.343,3
Dev524,200,Dev200,524,0.343,3
Dev524,270,Dev270,524,0.343,3
Dev77,77,Dev143,143,0.343,7
Dev200,200,Dev270,270,0.343,3
Dev7,7,Dev524,524,0.343,3
Dev7,7,Dev283,283,0.343,3
Dev324,446,Dev446,324,0.343,3
Dev200,200,Dev484,484,0.343,3
Dev8,8,Dev227,227,0.342,3
Dev14,14,Dev270,270,0.342,3
Dev270,270,Dev404,404,0.342,3
Dev14,14,Dev404,404,0.342,3
Dev395,395,Dev482,482,0.341,3
Dev27,27,Dev324,324,0.341,7
Dev27,27,Dev395,395,0.341,3
Dev324,324,Dev500,500,0.341,7
Dev324,324,Dev363,363,0.341,7
Dev324,324,Dev411,411,0.341,7
Dev18,18,Dev351,351,0.341,3
Dev395,395,Dev500,500,0.341,3
Dev324,324,Dev482,482,0.341,7
Dev395,411,Dev411,395,0.341,3
Dev363,363,Dev395,395,0.341,3
Dev561,561,Dev570,570,0.34,3
Dev516,220,Dev220,516,0.34,3
Dev220,447,Dev447,220,0.34,3
Dev137,140,Dev140,137,0.34,3
Dev220,220,Dev425,425,0.34,3
Dev560,220,Dev220,560,0.34,3
Dev544,220,Dev220,544,0.34,3
Dev492,492,Dev500,500,0.339,3
Dev77,77,Dev509,509,0.339,3
Dev362,362,Dev509,509,0.339,3
Dev560,242,Dev242,560,0.337,3
Dev544,242,Dev242,544,0.337,3
Dev520,448,Dev448,520,0.336,3
Dev446,446,Dev448,448,0.336,3
Dev543,448,Dev448,543,0.336,3
Dev81,81,Dev415,415,0.335,3
Dev81,81,Dev498,498,0.335,3
Dev242,242,Dev308,308,0.334,3
Dev138,138,Dev140,140,0.332,7
Dev140,142,Dev142,140,0.332,7
Dev36,36,Dev446,446,0.328,3
Dev305,411,Dev411,305,0.322,7
Dev85,85,Dev397,397,0.319,8
Dev89,89,Dev397,397,0.319,8
Dev223,223,Dev397,397,0.319,8
Dev198,198,Dev397,397,0.319,8
Dev305,305,Dev308,308,0.318,3
Dev242,242,Dev492,492,0.317,3
Dev559,242,Dev242,559,0.317,3
Dev5,446,Dev446,5,0.313,7
Dev261,261,Dev305,305,0.313,3
Dev242,261,Dev261,242,0.313,3
Dev137,142,Dev142,137,0.311,8
Dev57,57,Dev67,67,0.31,8
Dev5,5,Dev220,220,0.309,8
